software	linesOfCode	details	notes	source1	sourceLink	source2
Windows XP (2001)	40000000	operating system. increase in code relative to previous version: 138%		Knowing .net	http://www.knowing.net/index.php/2005/12/06/how-many-lines-of-code-in-windows/	
Microsoft Office (2013)	45000000	office productivity software for use with Windows		PC Mag	http://www.pcmag.com/article2/0,2817,2418117,00.asp	
Large Hadron Collider	50000000			Coverity	http://www.coverity.com/company/press-releases/read/cern-chooses-coverity-to-ensure-accuracy-of-large-hadron-collider-software-html	http://www.theregister.co.uk/2011/09/22/cern_coverity/
Microsoft Visual Studio 2012	50000000			Microsoft Blog	http://blogs.msdn.com/b/visualstudio/archive/2012/06/20/the-visual-studio-2012-feedback-tool-a-better-way-to-submit-bugs.aspx	
Windows Vista (2007)	50000000	increase in code relative to previous version: 125%		NYTImes	http://www.nytimes.com/2006/03/27/technology/27soft.html?adxnnl=1&pagewanted=all&adxnnlx=1382805118-0jnNRGXEVPip3xoW+BDp8Q	
Facebook (without backend code)	62000000		note from the source: "The new count includes the entire git repository: data, binaries, third-party and all. Thanks to Adam Hupp for pointing this out to me. The number is from running git ls-files"	Quora	http://www.quora.com/Facebook-Engineering/How-many-lines-of-code-is-Facebook	
US Army's Future Combat System	63800000			Wired	http://www.wired.com/dangerroom/2008/01/army-futures-so/	
Debian 5.0 codebase	68000000					
Mac OS X 10.4	86000000	operating system		Engadget	http://www.engadget.com/2006/08/07/live-from-wwdc-2006-steve-jobs-keynote/	
Software in typical new car, 2013	100000000			Wired	http://www.wired.com/autopia/2012/12/automotive-os-war/	
Debian 5.0 (all software in package)	324000000	operating system	Debain is an operating system which is composed of free software	Debain Counting	http://debian-counting.libresoft.es/	
Healthcare.gov	500000000			NY Times	http://www.nytimes.com/2013/10/21/us/insurance-site-seen-needing-weeks-to-fix.html?pagewanted=all&_r=0	
Google	2000000000	website		Wired	http://www.wired.com/2015/09/google-2-billion-lines-codeand-one-place/	
LibreOffice	9080000			BlackDuck	https://www.openhub.net/p/libreoffice	
OpenOffice	11300000			BlackDuck	https://www.openhub.net/p/openoffice	
